node
24-HOUR MAN/EMMANUEL
3-D MAN/CHARLES CHAN
4-D MAN/MERCURIO
8-BALL/
"ABBOTT, JACK"
ABCISSA
ABEL
ABOMINATION/EMIL BLO
ABOMINATION | MUTANT
ABOMINATRIX
ABRAXAS
ABSALOM
ABSORBING MAN/CARL C
ABSORBING MAN | MUTA
ACBA
"ACHEBE, REVEREND DOC"
ACHILLES
ACHILLES II/HELMUT
ACROBAT/CARL ZANTE
"ADAM 3,031"
"ADAMS, CINDY"
"ADAMS, CONGRESSMAN H"
"ADAMS, GEORGE"
"ADAMS, MARTHA"
"ADAMS, NICOLE NIKKI"
"ADAMSON, JASON"
"ADAMSON, REBECCA"
ADAM X
ADMIRAL PROTOCOL/
ADORA CLONE
ADORA
ADRIA
ADVA
ADVENT/KYLE GROBE
ADVERSARY
AEGIS/TREY ROLLINS
AENTAROS
AFTERLIFE
AGAMEMNON
AGAMEMNON II/ANDREI
AGAMEMNON III/
AGAMOTTO
"AGARN, CAPT."
AGED GENGHIS
"AGEE, DR. AUBREY"
"AGEE, REBECCA"
AGENT 18/JACK TRUMAN
AGENT AXIS/
AGENT-X/
AGGAMON
AGINAR
AGON
AGONY/
"AGUIRRE, ISOBEL"
AHAB/RORY CAMPBELL
A
AHQLAU
AHURA
AI-CHIA
AINET
AIRBORNE/
AIREO/AEOLUS [INHUMA
AIR WALKER/ARLO SAMU
AIR-WALKER/GABRIEL L
AJAK/TECUMOTZIN [ETE
AJAX
AJAX II
AJES'HA
AKAFE
AKULIA
"AKUTAGAWA, OSAMU"
ALANYA
ALBERIK
ALBERT
ALBINO/DR. AUGUSTA S
"ALBUQUERQUE, JEREMIA"
ALCHEMY/THOMAS JONES
"ALDEN, PROF. MEREDIT"
"ALEGRIA, RICHIE"
"ALEXANDER, CALEB"
"ALEXANDER, CARRIE"
ALFY
ALIOTH
ALIST
ALISTRO
AL-KHALAD
"ALLEN, TERRY"
"ALOUETTE, GENARD"
ALPHA
"ALRAUNE, MARLENE"
"ALVAREZ, CARLY"
"ALVAREZ, FELIX"
"ALVAREZ, PAUL"
AMAZO-MAXI-WOMAN/
AMAZON
AMENHOTEP
AMERICAN EAGLE III/J
AMERICAN EAGLE II/JA
AMERICAN SAMURAI/
AMERICOP/
AMIKO
AMINEDI
AMPERE/
AMPHARON
AMPHIBIAN/KINGLEY RI
AMPHIBIUS
ANACONDA/BLANCHE SIT
ANAIS
ANAK
ANALYZER
"ANAMI, HIROSHI"
ANANASTASIA/ANNA
ANARCHIST/TIKE ALICA
ANCESTOR/
ANCIENT ONE/BARON MO
ANCIENT ONE
"ANDERS, JOSHUA RICHI"
"ANDERSON, BAXTER"
"ANDERSON, CHARLES"
"ANDERSON, CHET"
"ANDERSON, CHIEF MAGI"
"ANDERSON, GINA"
"ANDERSON, MARJORIE"
"ANDERSON, NICKY"
"ANDERSSEN, TANYA"
"ANDREWS, DARYL TROOP"
ANDROMEDA/ANDROMEDA
ANDROS
ANDWELLA
ANELLE
ANGAR THE SCREAMER/D
ANGEL 2013
ANGEL DOPPELGANGER
ANGEL III/HALLOWAY
ANGEL II/THOMAS HALL
ANGEL IV
"ANGELOPOULOS, ANGEL"
ANGEL/WARREN KENNETH
ANGKOR
ANGLER
"ANGSTROM, EARL"
ANIELLE
ANIMATOR/DR. FREDRIC
ANIMATOR II/
ANIMUS
ANNALEE
ANNIHILUS
ANOMALY
ANOMALY III
"ANON, LORD"
ANSWER
ANSWER II/DAVID FERR
ANTEUS
ANTHROMORPHO
ANTIBODY
ANTI-PHOENIX
ANTIQUARY/
ANTI-VISION
ANT-MAN/DR. HENRY J.
ANT-MAN II/SCOTT HAR
"ANTOINETTE, MARIE"
ANTORO
ANTRO
"ANUBAR, ANWAR"
ANUBIA
ANVIL/JOHNNY ANVIL
APE/
APE MAN/GORDON MONK
APE MAN II/ROY MCVEY
APE-X/XINA
APOCALYPSE/EN SABAH
APOCALYPSE | MUTANT
APOCRYPHUS
APOLLO [GREEK GOD]
APOSTATE
APPALLA
"APPLEBAUM, PHANTASY"
AQUARIAN/WUNDARR
AQUARIUS/DARREN BENT
AQUARIUS II/
AQUARIUS III/
ARABIAN KNIGHT/ABDUL
ARACHNE
ARAGORN
ARAKI II
ARAKI [SHI'AR]
"ARBOGAST, BAMBI"
ARCADE/
ARCADIUS
ARCANNA/ARCANNA JONE
ARCHAEOPTERYX/TONAJA
ARCHER/JUDE BLACK
"ARCHER, ULYSSES SAMS"
ARCLIGHT/PHILLIPA SO
ARCTURUS
ARES [GREEK GOD]
AREX
ARGOS
"ARGOSY, HERVE"
ARIA
ARIANE
ARIDES
ARIEL II
ARIES II/GROVER RAYM
ARIES III/
ARIES/MARCUS LASSITE
ARISHEM [CELESTIAL]
ARIZE
"ARKANIAN, GLIB"
ARKO
ARKON
"ARLINGTON, DR. MARCU"
ARLISSE
ARMADA
ARMADA II/
ARMADILLO/ANTONIO RO
ARMAGEDDON
ARMAGEDDON MAN
ARMAND
ARMAROS
ARMAZIEL
"ARMBRUSTER, COLONEL"
ARMS MERCHANT/ANDREA
"ARMSTRONG, ?"
"ARMSTRONG, MYRA"
ARNSTROM
ARON [WATCHER]
ARRANGER/
ARROW
ARSENAL
ARSENAL II
ARSENIC
ARTEMIS
ARVAK
ARYAN
ASANO
"ASBERY, SHAMARI"
ASBESTOS LADY
"ASH, BRANDY"
ASHEMA [CELESTIAL]
"ASHER, CARL"
"ASHER, DONNA"
"ASHER, MICHAEL"
ASHUR
ASKANI
ASMODEUS
ASP II/CLEO
ASSAULT/
ASTARTE
"ASTER, LUCIAN"
ASTRA
ASTRA II
ASTROLOGER/
ASTRONOMER
"ASTROVIK, ARNOLD"
"ASTROVIK, NORMA"
ASYLUM/
ASYLUM II/HENRIQUE M
ATALANTA
ATALON
ATHENA [GREEK GOD]
"ATKINSON, MAJ. EDMON"
ATLAS
ATLAS III
ATOM SMASHER/
ATOM-SMASHER/
ATOM SMASHER II/
"ATOR, GENERAL"
ATTRACTIVE LAD/AUNDR
ATTUMA
AUGUST PERSONAGE IN
AUNTIE FREEZE/
AURA/ANN HERD
AURIC/
AURORA DOPPELGANGER
AURORA/JEANNE-MARIE
AURORA | MUTANT X-VE
"AUSTIN, GEN."
"AUSTIN, SUSAN"
"AUSTIN, TERRY"
"AUTHIER, POLICE CHIE"
"AUTHIER, TRACY TRACE"
AUTHORITY/
AUTOLYCUS
AVALANCHE/DOMINIC PE
AVANDALIA
AVATAR
AVATAR II/PRINCESS A
AVIA
AVIOS
AVIUS
"AVRIL, SALLY"
"AVRIL, YVETTE"
AWESOME ANDROID
AXE/
AXIS/
"AYALA, AWILDA"
"AYALA, FILIPPO"
"AYALA, MRS."
"AYALA, NESTOR"
AYESHA
A'YIN
AZAZEL
AZAZEL II
AZIR
AZOPARDI
AZOR
AZRAEL
AZURE
BAAL
BAAL II
BACILLUS
"BADALAMENTE, JESUS"
"BADALINO, LT. MICHAE"
"BAILEY, GAILYN"
"BAILEY, JOEY"
"BAILEY, SARA GREY"
"BAIRD, DR."
"BAKER, ANNE-MARIE"
BAKER
BALABAN/
BALDER [ASGARDIAN]
"BALDWIN, JUSTIN"
"BALDWIN, MADELYNE MA"
"BALE, EMERSON"
"BALLANTINE, DEVON"
"BALLANTINE, KAYLA"
"BALLANTINE, MR."
"BALLANTINE, MRS."
BALOR
BAMBI
"BANCROFT, MARTINE"
BANDIT/
"BANK, IRVING"
"BANKS, SHARON"
"BANNER, BETTY ROSS T"
"BANNERJEE, DR."
"BANNON, LANCE"
BANSHEE 2013
BANSHEE II
BANSHEE/SEAN CASSIDY
BANTAM/
"BANTOCK, LT. OLIVER"
"BAPTISTE, TANTE MATT"
BARAK
"BARBAROSSA, MARIO"
"BARBAROSSA, VINNIE"
BARBARUS
BARIUM
BARKER
"BARKER, MATTHEW T."
BARNACLE/
"BARNETT, MIKE"
BARON BLOOD II/VICTO
BARON BLOOD/JOHN FAL
BARON BRIMSTONE/
BARONESS ZEMO/HEIKE
BARON MACABRE/
BARON MORDO/KARL MOR
BARON SAMEDI
BARON STRUCKER/WOLFG
BARON ZEBEK
BARRACUDA/
BARRAGE
"BARRANCO, MARIA ESME"
"BARRENOS, OMAR"
B'ARR
BARRIER/
BARRINGTON
"BARRON, RICK"
"BARROWS, WALTER"
"BARTLETT, STU"
"BARTON, SEN."
BARTOS
BASALLO/LAVA MEN KIN
BASALTAR
BASILISK/BASIL ELKS
BASILISK II
BASILISK III/
BATAL/
BATROC/GEORGES BATRO
BATTERING RAM
BATTERY/
BATTLEAXE/
BATTLEAXE II/JEROME
"BATTLE, MONTGOMERY"
BATTLESTAR/LEMAR HOS
BATWING/
BAV-TEK
"BAXTER, ABIGAIL"
BAXTER
"BAXTER, NOAH"
"BAYLOR, FRANK"
BAYMAX
"BAZIN, ALLEGRA"
"BAZIN, ANDREW"
